0.0000,1.9766,21.0000,8.4853,8.4853,12.4292
0.0936,2.9503,20.1157,7.7770,9.4307,11.9870
0.2771,3.9139,19.3923,7.1425,10.8370,11.2004
0.5444,4.8622,18.7905,6.5599,12.8419,9.8698
0.8850,5.7926,18.2502,6.0144,15.5477,7.7636
1.2825,6.7045,17.6798,5.4957,17.4136,5.8518
1.7208,7.5974,17.0390,4.9850,16.1626,5.9154
2.1995,8.4693,16.4311,4.4568,15.0002,5.8939
2.7177,9.3187,15.8501,3.9103,13.9217,5.7867
3.2736,10.1442,15.2885,3.3442,12.9206,5.5998
3.8545,10.9309,14.7376,27.0274,11.9893,12.0415
4.5055,11.6600,14.8394,26.1873,11.0868,12.2020
5.2220,12.3246,15.2046,25.5125,10.3473,12.2479
6.0012,12.9212,15.9161,17.6641,9.7603,11.0643
6.8298,13.4499,28.4693,13.5446,9.2976,10.6148
7.7018,13.9106,26.2053,11.6991,8.9480,9.5335
8.6081,14.3071,24.3386,10.7309,8.6867,8.4031
9.5409,14.6449,22.7509,10.1549,8.4948,7.2289
10.4934,14.9306,21.3598,9.7967,8.3538,6.0309
11.4602,15.1720,20.1056,9.5792,8.2456,4.8340
12.4368,15.3774,18.9453,9.4644,8.1530,3.6659
13.4198,15.5551,17.8479,9.4332,8.0605,2.5559
14.3609,15.7060,16.7920,9.4761,28.2832,-17.6259
15.3171,15.9955,16.3403,12.0926,7.1387,2.3954
16.2278,16.2529,15.2579,12.2820,30.0783,-18.8569
17.1092,16.6460,15.0802,14.7481,36.1385,-15.1816
17.9291,17.1333,14.9955,13.3016,34.4169,-17.4951
18.6702,17.7207,15.4030,12.1514,33.0859,-18.9671
19.3204,18.4109,16.5224,11.3348,22.4919,-18.5269
19.8960,19.2276,18.5391,10.8386,7.7370,-2.2397
20.4551,20.0510,17.9858,10.2869,10.0987,-5.6015
20.9769,20.8961,18.1684,9.8083,10.6660,-6.6568
21.4544,21.7669,18.7660,9.3991,10.6314,-6.7539
21.8859,22.6619,19.6752,9.0521,10.4740,-6.4850
22.2724,23.5783,20.8817,8.7596,10.3136,-5.9845
22.6164,24.5127,22.3690,8.5120,10.1895,-5.2885
22.9222,25.4616,24.0723,8.2970,10.1207,-4.4361
23.1955,26.4214,25.5135,8.1009,10.1185,-3.6780
23.4411,27.3881,24.3280,7.9170,10.1639,-4.1678
23.6553,28.3618,23.1527,7.7848,10.1011,-4.4555
23.8358,29.3421,22.0017,7.7053,9.9665,-4.5581
23.9815,30.3283,20.8821,7.6778,9.7889,-4.4999
24.0927,31.3193,19.7953,7.7004,9.5888,-4.3071
24.1709,32.3138,18.7383,7.7693,9.3801,-4.0047
24.2181,33.3107,17.7061,7.8793,9.1716,-3.6153
24.2375,34.3090,16.6925,8.0230,8.9690,-3.1581
24.2323,35.3079,15.6912,8.1916,8.7762,-2.6500
24.2067,36.3069,14.6970,8.3745,8.5959,-2.1055
24.1647,37.3056,13.7052,8.5601,8.4309,-1.5379
